Context.php?Start=115055377&End=115055379	compagnia a compagnia	Da 	compagnia a compagnia	 le condizioni possono variare sensibilmente.
Context.php?Start=86097438&End=86097440	costa a costa	La passione favolosa di Ormus per il pane aveva spinto Standish, naturalmente, a investire anche in questo ramo; ora Vina provvedeva ache la qualità della Camaloaf, la pagnotta prodotta su licenza, fosse difesa da 	costa a costa	.
Context.php?Start=92990141&End=92990143	costa a costa	Sono evidenti le grandi fratture equatoriali che tagliano l'Oceano Atlantico da 	costa a costa	 Immaginiamo di poter prosciugare l'Atlantico e di sorvolarlo in aereo.
Context.php?Start=94019574&End=94019576	costa a costa	La Air One all'opposto si è trovata una nicchia facendo volare da 	costa a costa	 degli Usa degli aerei salotto per miliardari a tariffe altissime.
Context.php?Start=133141718&End=133141720	costa a costa	Sta per cominciare il più sanguinoso viaggio da 	costa a costa	 della storia d'America.
Context.php?Start=133142169&End=133142171	costa a costa	Nessuna via di scampo, solo un'ultima corsa da 	costa a costa	, uccidendo finoa trovare la vittima che l'avrebbe reso famoso.
Context.php?Start=137065283&End=137065285	costa a costa	In un viaggio negli Stati Uniti visitai una quarantina di università da 	costa a costa	, sempre cercando se c'erano macchine ingradodi svolgere in automatico il censimento lessicale di un testo.
Context.php?Start=31946507&End=31946509	cquarte a cquarte	Nel secondo dei due sonetti a lei dedicati (Santaccia de piazza Montanara, del 12 dicembre 1832) il Belli ne racconta una buona azione, così come una meretrice può concepirla: A pproposito duncue de Santaccia Che ddiventava fica da oggni parte, E ccoll'arma e ccor zanto e cco le bbraccia T'ingabbiava l'uscelli a 	cquarte a cquarte	; é dda sape cc'un giorno de gran caccia, Mentre lei stava assercitanno l'arte, Un burrinello co l'invidia in faccia S'era messo a ggodessela indisparte.
Context.php?Start=97002185&End=97002187	cultura a cultura	Unione stabilita tra due gruppi esogamici attraverso il matrimonio di uno dei membri di ciascun gruppo, l'alleanza matrimoniale lega due individui di sesso differente sullabasedi diritti e doveri reciproci che variano da 	cultura a cultura	.
Context.php?Start=99137956&End=99137958	cultura a cultura	Se le lettere d'amore variano da 	cultura a cultura	, gli individui di tutte le tradizioni hanno in comune la capacità di vivere l'amore attraverso gesti e idee o simboli.
Context.php?Start=101102992&End=101102994	cultura a cultura	Ma ha, più o meno, un solo profilo, che con piccole varianti rimane lo stesso da 	cultura a cultura	.
Context.php?Start=78531982&End=78531984	cuore a cuore	Rinnovarono il loro amore, 	cuore a cuore	, mentre il bimbo aspettava.
Context.php?Start=82580880&End=82580882	cuore a cuore	Invece la stava invitando a camminare al suo fianco, mano nella mano, 	cuore a cuore	.
Context.php?Start=90132566&End=90132568	cuore a cuore	Ci deve essere la possibilità di rapporti concreti: la mamma deve poterti portare a letto, darti il bacio della buona notte, imboccarti se è necessario, stare con te 	cuore a cuore	.
Context.php?Start=150880163&End=150880165	cuore a cuore	E poi ci fu la marsupioterapia, il primo contatto 	cuore a cuore	.
Context.php?Start=43344668&End=43344670	curva a curva	«Premesso che ci sono delle differenze da 	curva a curva	.
Context.php?Start=95711716&End=95711718	danno a danno	Le larve di questi insetti, subdoli untori, per aggiungere 	danno a danno	, oltreche infestare i tessuti con attacchi diretti sono portatrici di noiosissime dermatiti o congiuntiviti che mietono vittime tra gli umani ipersensibili.
Context.php?Start=128145597&End=128145599	danno a danno	 Guai se non fosse così - ha tuonato Romiti - poiché dopo tanti sforzi si aggiungerebbe 	danno a danno	.
Context.php?Start=121901660&End=121901662	decibel a decibel	Tutti in fila verso l'ingresso del Motodrom, con le bandiere sottobraccio e le trombe da stadio per aggiungere 	decibel a decibel	 quando Michael e Ralf fanno guaire il motore sotto le tribune.
Context.php?Start=139659483&End=139659485	deficit a deficit	Tutto vero, dirà il pensionato, ma è anche vero che se sommo 	deficit a deficit	 prima o poi il buco diventerà tanto grande che sarà difficile riempirlo.
Context.php?Start=125905021&End=125905023	deposito a deposito	Le voci, le ipotesi, le telefonate tra colleghi di Sorbo e di De Santi rimbalzano da 	deposito a deposito	.
Context.php?Start=115807878&End=115807880	destra a destra	I gruppi politici di sinistra stanno a sinistra rispettoal tavolo della presidenza, quelli di centro al centro e quelli di 	destra a destra	.
Context.php?Start=34144872&End=34144874	dinamitardo a dinamitardo	Comese un testimone fosse passato di mano da 	dinamitardo a dinamitardo	, nella penisola arabica una banda è riuscita nella non difficile impresa fallita in Gran Bretagna, ammazzare indifesi con il tritolo.
Context.php?Start=142309476&End=142309478	diocesi a diocesi	I trasferimenti da 	diocesi a diocesi	 - secondo il porporato - dovrebbero avvenire solo in casi eccezionali.
Context.php?Start=37317596&End=37317598	disappunto a disappunto	Si diede subito della stupida e questo fatto aggiunse 	disappunto a disappunto	.
Context.php?Start=27661683&End=27661685	disastro a disastro	Dunque, una buona legge risulta impraticabile; e produrre un'altra riforma inefficace sarebbe aggiungere 	disastro a disastro	.
Context.php?Start=135205759&End=135205761	disastro a disastro	E poi, se la pioggia rimane così debole non può certo aggiungere 	disastro a disastro	.
Context.php?Start=135358455&End=135358457	disastro a disastro	Se dovesse piovere, si aggiungerebbe 	disastro a disastro	.
Context.php?Start=20030144&End=20030146	disciplina a disciplina	Inpiù, il grado di sconnessione varia da 	disciplina a disciplina	.
Context.php?Start=7259252&End=7259254	discrezione A discrezione	Proponente del documento Livello desiderato IAB IESG IRSG Altri Standard o Bozza Ignorato Pubblicato Ignorato Ignorato Proposta Esaminato Pubblicato Esaminato Esaminato Sperimentale Segnalato Pubblicato Segnalato Segnalato Informativo o Opinione Pubblicato Pubblicato A 	discrezione A discrezione	 Come si può vedere, la pubblicazione è automatica quando il documento è stato prodotto dalla IESG stessa, qualunque sia il livello richiesto.
Context.php?Start=155328809&End=155328811	disordine a disordine	Ho sbagliato a venire fin qua per te, ho sommato solo 	disordine a disordine	, malgrado la tua gentilezza, la tua disponibilità.
Context.php?Start=1262547&End=1262549	distorsione a distorsione	Il fatto è che il monopolio, privato o pubblico che sia, modella di sè il sistema e aggiunge 	distorsione a distorsione	 finché tutti hanno torto, avendo tutti ottime ragioni.
Context.php?Start=115341172&End=115341174	distretto a distretto	Tra l'altro, per fronteggiare il ripetersi di cause di questo tipo, i tribunali hanno messo a punto una sorta di tabella dei rimborsi, che varia da 	distretto a distretto	.
Context.php?Start=21565918&End=21565920	dito a dito	Sulle mani, per ogni dito eccetto i pollici, un anello con profilo di felino, alternati - 	dito a dito	 - uno d'argento e uno d'oro.
Context.php?Start=125046295&End=125046297	dolore a dolore	Non aggiungete 	dolore a dolore	, tragedia a tragedia...".
Context.php?Start=5596977&End=5596979	donna a donna	Il deficit estrogenico ha una serie di effetti a breve, medio e lungo termine differenti per incidenza da 	donna a donna	 in base anche a fattori costituzionali e socio - ambientali ma comunque capaci in molti casi di minare gravemente lo stato di salute generale attraverso il danneggiamento di numerosi organi ed apparati (cardiovascolare, nervoso, cutaneo, osseo, uro - genitale).
Context.php?Start=11877779&End=11877781	donna a donna	I primi sintomi e i falsi allarmi Nessuno è ingradodi prevedere con esattezza quando inizierà il travaglio; anche i sintomi e la successione degli eventi possono essere molto diversi da 	donna a donna	.
Context.php?Start=11879705&End=11879707	donna a donna	- L'intensità del dolore in questa fase varia molto da 	donna a donna	.
Context.php?Start=20128445&End=20128447	donna a donna	Gli parlò come si potrebbe parlare da 	donna a donna	, avvertendo un senso di complicità davvero strano verso una persona che, in fondo, conosceva solo superficialmente da pochi mesi.
Context.php?Start=21647215&End=21647217	donna a donna	Vai ora, non stare a perdere tempo, aggiungi 	donna a donna	, e non metterti a contare.
Context.php?Start=29568037&End=29568039	donna a donna	Le due donne, da 	donna a donna	, devo dire che non mi sono piaciute, né la bidella né la barista col suo coniglio.
Context.php?Start=34941639&End=34941641	donna a donna	Da 	donna a donna	: per l'amor del cielo fatti scopare un pò (forse un pò di acidità se ne va)!
Context.php?Start=49201608&End=49201610	donna a donna	«Ma se vuole un consiglio Â da 	donna a donna	 Â non lo farei.
Context.php?Start=57676421&End=57676423	donna a donna	Se mi fossi presentata nella maniera giusta, ho pensato, se le avessi parlato da 	donna a donna	, lei avrebbe capito.
Context.php?Start=77466215&End=77466217	donna a donna	Allora andò alla Chiesa di Lourdes, pregando che il parroco basco non si facesse vivo, si inginocchiò davantiall'altare, come aveva fatto tante volte nella sua vita, e per la prima volta si rivolse alla Vergine per parlarle da 	donna a donna	.
Context.php?Start=81397827&End=81397829	donna a donna	La signorina Griffin ed io abbiamo fatto una lunga chiacchierata, da 	donna a donna	, ed abbiamo tratto il massimo l'una dall'altra.» «E allora ci congediamo, dopo queste ore così piene», disse Matty.
Context.php?Start=83903632&End=83903634	donna a donna	«Sono villana, lo sai già, e se c'è qualcosa che mi mette di malumore sono le sedute di confidenze da 	donna a donna	, per cui gradirei che mi risparmiassi le tue.
Context.php?Start=86111474&End=86111476	donna a donna	C'è una donna vescovo, adesso, negli Stati Uniti, forse potrei chiamarla, forse lei potrebbe arrivare a Vina e, non so, forse, parlandole da 	donna a donna	, intercedere per me.
Context.php?Start=112819395&End=112819397	donna a donna	Nel corso della sua vita, ha perfezionato, in maniera sempre più coraggiosa e gentile, il suo modo di parlare attraverso le rubriche giornalistiche: da ricordare, fra le altre, Personale (su l'Unità), Da 	donna a donna	 (su Amica), e i fili diretti con le lettrici di Repubblica D.
Context.php?Start=117349622&End=117349624	donna a donna	Per vedere quanto sei cambiata foto di Cynthia Levine Masi - tratto da"Guida medica da 	donna a donna	.
Context.php?Start=117350976&End=117350978	donna a donna	Dalla sua enciclopedia dei problemi femminili Guida medica, da 	donna a donna	 (Red edizioni: arriva in libreria in questi giorni) abbiamo tratto alcune pagine in anteprima.
Context.php?Start=117760829&End=117760831	donna a donna	È il nostro sentirci solidali, soprattutto nel rapporto 	donna a donna	, magari colludendo contro i"maschi cattivi".
Context.php?Start=118276354&End=118276356	donna a donna	8-9 agosto settembre 2000 - Sentirsi acqua nell'acqua - Da donna a donna DA 	donna a donna	 Sentirsi acqua nell'acqua di Rosangela Vegetti (giornalista) Spazio vitale entro cui muoversi in libertà.
Context.php?Start=118707968&End=118707970	donna a donna	print (); } } -- > Infibulazione, un dramma anche italiano di Francesca Mambro e Valerio Fioravanti Ai margini di un recente convegno sulla giustizia minorile, una procuratore aggiunta raccontava"da 	donna a donna	"una storia che però non poteva mettere nelle sue relazioni ufficiali, la storia di Miriam, una bambina nordafricana di 11 anni, e di Carla, la sua compagna di banco italiana.
Context.php?Start=118790080&End=118790082	donna a donna	Romanzi: Il corpo lesbico, di Monique Witting, edizioni delle donne; Lo stesso mare di ogni estate, di Ester Tusquet, La tartaruga; Lettere a Marina, di Dacia Maraini, Bompiani; Tenda Con vista, di Liana Borghi, Estro; Il pozzo della solitudine, di Radcliff Hall, Dall'0glio; La giungla dei fruttirubini, di Rita Mae Brown, Bompiani; Il colore viola, di Alice Walker, Frassinelli; Teresa e Isaabella, di Violette Leduc, Feltrinelli; Da 	donna a donna	, edizioni delle donne; Scum, di Valerie Solanas, Edizioni delle donne; Un posto per noi, di Isabel Miller, Estro Saggi: E la madre, tra l'altro è una scrittrice, acuradi M.
Context.php?Start=136549693&End=136549695	donna a donna	Tra una quindicina di giorni verrà distribuito il periodico Da 	donna a donna	 di cui è direttore responsabile la Gardini: dalla veste grafica rinnovata, con 16 pagine, a diffusione nazionale, è stampato in 30 mila copie.
Context.php?Start=151354552&End=151354554	donna a donna	Quali sono i fattori che determinano queste differenze da 	donna a donna	?
Context.php?Start=158304760&End=158304762	donna a donna	E da 	donna a donna	 l'ho trattata senza discrezione, senza virile rispetto.
Context.php?Start=25919172&End=25919174	donne a donne	Da 	donne a donne	, hanno chiesto alle straniere che avevano abortito di raccontare se conoscono la contraccezione, e per quale motivo hanno deciso di non proseguire la gravidanza.
Context.php?Start=56436982&End=56436984	dorso a dorso	Certamente facendo percorsi trekking (che durano più di un giorno) scendendo al fiume a piedi o a 	dorso a dorso	 di mulo o effettuando il giro in elicottero, la fruizione del canyon sarebbe stata più intensa ma abbiamo scartato i primi per questioni anagrafiche di due di noi (la pendenza è notevole) e la seconda per esplicito rifiuto di Stefania di salire su un"coso"che reputa poco sicuro.
Context.php?Start=73592667&End=73592669	dorso a dorso	Vittorio scosta qualche altra grande tela appoggiata alla parete, giusto abbastanza per farmi dare un'occhiata; me ne fa vedere alcune di quelle più piccole, impilate 	dorso a dorso	 sul tavolo di legno grezzo.
Context.php?Start=94559122&End=94559124	dorso a dorso	Avvicinandosi si trovano - e si vedono da vicino - centinaia di bellissimi uccelli che, 	dorso a dorso	, sembrano coprire l'acqua con un manto rosato.
Context.php?Start=68822704&End=68822706	edificio a edificio	Provins, il luogo dei nuovi Templari sotterranei... Gallerie che portano da 	edificio a edificio	, si finge di entrare in un deposito di grano o in un fondaco e sí fuoriesce in una chiesa.
Context.php?Start=96977319&End=96977321	eguale a eguale	Perché se è vero che noi oggi proclamiamo la nostra indipendenza d'intesa col Belgio, paese amico col quale oggi trattiamo da 	eguale a eguale	, è pur vero che nessun congolese degno di questo nome potrà dimenticare che questa indipendenza è stata conquistata con una lotta condotta giorno per giorno, una lotta ardente e idealista, una lotta nella quale non abbiamo risparmiato le nostre forze, né le sofferenze, né i sacrifici, né il sangue.
Context.php?Start=7769204&End=7769206	elaboratore a elaboratore	Le regole del protocollo TCP IP consentono il trasferimento di pacchetti di dati da 	elaboratore a elaboratore	.
Context.php?Start=5645807&End=5645809	elemento a elemento	La concentrazione, a cui una sostanza provoca inquinamento, varia molto da 	elemento a elemento	: pochi miliardesimi di grammo (nanogrammi) per metro cubo di aria di benzopirene provocano un danno maggiore di una decina di milligrammi per metro cubo di ossido di carbonio.
Context.php?Start=23187680&End=23187682	ente a ente	I particolari di questi approcci variano da 	ente a ente	.
Context.php?Start=59222757&End=59222759	ente a ente	Bergoglio sollecita una maggiore mobilità da 	ente a ente	, blocca gli straordinari, i rinnovi dei contratti a tempo determinato, i nuovi incarichi professionali, i passaggi di livello e, ovviamente, le assunzioni.
Context.php?Start=149535345&End=149535347	episodio a episodio	Lo avrebbe appreso a pezzi e bocconi quando a Tiziano Sclavi andava di mettere un poco d'ordine nella sua opera ribollente e provava a saldare 	episodio a episodio	, ma troppo presto finiva per interrompere la ricerca, sollecitato da un'altra tentazione.
Context.php?Start=9505840&End=9505842	epoca a epoca	Non credo che saranno molto diversi da quelli attuali, l'etica è sempre la stessa, da 	epoca a epoca	 possono venirne cambiate le applicazioni secondo il livello delle conoscenze.
Context.php?Start=60654245&End=60654247	epoca a epoca	È vero che il concetto di giustizia cambia da 	epoca a epoca	 e da contesto a contesto, ma il bisogno di giungere a una sua rappresentazione condivisa rimane costante e immutabile.
Context.php?Start=91721161&End=91721163	eresia a eresia	Intervenendo nelle fasi recessive, riducendo la pressione fiscale, abbassando i tassi d'interesse, sostenendo la domanda, per poi avviare una politica di segno opposto quando l'economia recupera: senza paura di indebitarsi - continua aggiungendo 	eresia a eresia	 - e giocando sull'inflazione che non è poi quel mostro che tutti dicono.
Context.php?Start=74653267&End=74653269	errore a errore	- Non aggiungiamo 	errore a errore	.
Context.php?Start=53473185&End=53473187	euro a euro	Salvoche il fatto costituisca reato, il mancato rispetto, dapartedel debitore, dei termini di pagamento stabiliti al comma 3 e'punito con sanzione amministrativa pecuniaria da 500 	euro a euro	 500.000.
Context.php?Start=163109845&End=163109847	euro a euro	E sull'autonomia delle regioni del Nord assicura che la proposta finale del governo arriverà entro febbraio ROMA -"Chi ha un ricco conto in banca e pensa di fare il furbo, aggiungendo 	euro a euro	, non ne vedrà uno".
Context.php?Start=54686672&End=54686674	fabbricato a fabbricato	Poi, però, bisogna distinguere da 	fabbricato a fabbricato	».
Context.php?Start=637929&End=637931	faccia a faccia	Per gli uomini, la visione 	faccia a faccia	 è riservata alla beatitudine del cielo.
Context.php?Start=1039013&End=1039015	faccia a faccia	31 10 1997 Zuccolini Roberto --- LA LETTERA Rutelli: non fuggo dai confronti La Rai ha già fissato tre Tribune Signor direttore, leggo sul Corriere un articolo secondo cui i"sindaci dell'Ulivo"sarebbero"in fuga dai 	faccia a faccia	 in tv".
Context.php?Start=1039116&End=1039118	faccia a faccia	Chi arriverà al ballottaggio potrà poi svolgere non meno di tre o quattro"	faccia a faccia	"televisivi nazionali, oltrea quelli locali.
Context.php?Start=1821927&End=1821929	faccia a faccia	Non abbiate paura di avvicinarvi a lui, di varcare la soglia della sua casa, di parlare con lui 	faccia a faccia	, come ci s'intrattiene con un amico".
Context.php?Start=2538746&End=2538748	faccia a faccia	Questo messaggio unilaterale della terza Rete TV fu interrotto, negli spazi dei dibattiti in studio con l'apparire sulla scena televisiva dei nostri candidati, e diede l'avvio al cammino verso AN. Un messaggio che fu compreso dai telespettatori come nuovo e diverso nella sostanza dei temi sollevati e nella immediata freschezza ed originalità del linguaggio, della linearità e signorilità del comportamento, che lo vede vincitore di quasi tutti i"	faccia a faccia	"televisivi.
Context.php?Start=2604652&End=2604654	faccia a faccia	Gli studiosi stanno in realtà già esaminando con attenzione i cambiamenti di comportamento imposte da Internet ed osservano le differenze inrapportoagli altri modi di comunicare e specialmente rispetto i comportamenti delle comuni interazioni che si svolgono 	faccia a faccia	.
Context.php?Start=2650385&End=2650387	faccia a faccia	Per i miei intrepidi allievi della scuola Materna apistica ai loro primi 	faccia a faccia	 con le amiche"nemiche"api.
Context.php?Start=3540373&End=3540375	faccia a faccia	31 Allora Giacobbe chiamò quel luogo Penuel"Perché - disse - ho visto Dio 	faccia a faccia	, eppure la mia vita è rimasta salva".
Context.php?Start=3569594&End=3569596	faccia a faccia	Quando Joseph Smith uscì dal bosco sacro, aveva parlato a Dio 	faccia a faccia	.
Context.php?Start=3759030&End=3759032	faccia a faccia	2.0 Comunicazioni interpersonali (posta elettronica, talk) Con queste termine vengono definite quelle comunicazioni in cui una persona comunica con un'altra persona comese fosse un dialogo 	faccia a faccia	.
Context.php?Start=3780792&End=3780794	faccia a faccia	Decidamente positivo secondo Tim il bilancio del concorso, che ha portato il vertice aziendale ad incontrare 	faccia a faccia	 migliaia di studenti, per raccoglierne le impressioni, rispondere alle loro domande, ma soprattutto per ascoltare le nuove idee.
Context.php?Start=4203599&End=4203601	faccia a faccia	La scelta di Rutelli aggirava il problema: uomo nuovo, non doveva difendere i cinque anni di governo dell'Ulivo e infatti egli si è concentrato sull'attacco a Berlusconi, tirando dentro tutto quello che gli capitava, dal vecchio tema del conflitto d'interessi alla"minaccia"Bossi, dai timori per la democrazia agli articoli della stampa estera; ma soprattutto mirando a un confronto diretto, a un"	faccia a faccia	"di due ore in cui scontrarsi sui programmi.
Context.php?Start=4239337&End=4239339	faccia a faccia	Venerdì 27 aprile 2001 Oggi Casini a"Il Raggio Verde"Nella puntata di oggi del''Raggio Verde''si parlerà anche del difficile 	faccia a faccia	 tra Rutelli e Berlusconi, che il Cavaliere ha ribadito di non voler affrontare anche dopo l'invito rivoltogli il 25 aprile dallo stesso Michele Santoro.
Context.php?Start=7636631&End=7636633	faccia a faccia	Durante le conversazioni gli utenti si trovano in una strana condizione: non possono adattare i loro comportamenti sullabasedelle inflessioni, dei gesti e degli indizi fisici espressi dai loro interlocutori, come avviene nelle conversazioni 	faccia a faccia	.
Context.php?Start=8232578&End=8232580	faccia a faccia	Non a caso gli sforzi maggiori degli sviluppatori non sono rivolti al semplice sfruttamento delle ultime novità tecnologiche, o alla ricerca dell'esatta riproduzione di quelle che sono le normali esperienze in un incontro 	faccia a faccia	.
Context.php?Start=8650531&End=8650533	faccia a faccia	Questi sviluppi riguardano non soltanto come la gente lavora, ma anche dove lavora, quanto lavora, e con chi interagisce, 	faccia a faccia	 o elettronicamente.
Context.php?Start=8749936&End=8749938	faccia a faccia	Poi la proposta di matrimonio, lo scambio di fotografie e l'incontro 	faccia a faccia	.
Context.php?Start=8931362&End=8931364	faccia a faccia	Nessuno vieta di continuare l'abitudine della riunione settimanale, magari in giorni diversi per evitare le congestioni del traffico: posso concordare con lei che la videoconferenza, così come si può svolgere ora, non è la stessa cosa della riunione 	faccia a faccia	 e comunque è ancora troppo costosa.
Context.php?Start=8942071&End=8942073	faccia a faccia	L'ipotetico ostacolo posto dal telelavoro all'interscambio 	faccia a faccia	 è, perciò, soltanto un fantasma: i membri del gruppo si incontrano fisicamente quando lo desiderano, mentre si limitano a collegarsi telematicamente quando non sentono il bisogno di incontrarsi.
Context.php?Start=8953435&End=8953437	faccia a faccia	E anchese la qualità delle immagini potrebbe non essere elevatissima, la possibilità di tornare a dialogare"	faccia a faccia	"con colleghi e superiori promette di eliminare molti dei problemi di isolamento dei teleworker.
Context.php?Start=8981447&End=8981449	faccia a faccia	Il quale, per esempio, dava per scontato che la democrazia diretta dovesse basarsi su una discussione 	faccia a faccia	 tra cittadini tutti fisicamente presenti all'assemblea e tutti impegnati a confrontarsi su problemi locali, e quindi ben noti.
Context.php?Start=8981726&End=8981728	faccia a faccia	Nella democrazia diretta delle piccole comunità, che Rousseau aveva in mente, e in cui il problema della qualità e del prezzo del pane poteva essere discusso 	faccia a faccia	 tra i padri di famiglia e il fornaio, i presenti all'assemblea magari litigavano con urla e fischi, ma pur sempre interagivano tra loro, pur sempre erano ingradodi parlarsi, di vedersi, e di cercare, volendo, una persuasione reciproca.
Context.php?Start=9019122&End=9019124	faccia a faccia	Ai più, infatti, i videogiochi appaiono esercitazioni infantili e distrazioni inoperose dal sapere e del corpo, macchine senza senso e senza religione; i dialoghi 	faccia a faccia	 via Internet sembrano scenari di solitudine o baratri di dissipazione o funzioni della trivialità quotidiana, semplice scambio di informazioni, nuovi mercati del potere politico e industriale; gli ipertesti sono agguati alla fragranza del libro, perdita della testualità lineare, dei suoi ritmi, della sua forma bella, e anche dell'autorità di chi scrive, delle tradizioni che educano e formano; gli archivi informatici si annunciano come obnubilamento della memoria, strategie aliene, eterodirette, perquanto riconosciute come utili e forse necessarie difronteall'immane crescita dei dati, alle forme sempre più acute di oblio; l'intrattenimento al computer si presenta come smarrimento dello spazio e del tempo, esilio dalle vive forme dell'abitare e dei corpi, consegna alle macchine, frigidità e disinteresse per l'altro, atrofia del corpo e della fantasia; le navigazioni dei cibernauti minacciano dis - ordinate avventure e latitanze dalla forte visibilità dei grandi e piccoli schermi, fughe dalla rassicurante mappa dei palinsesti, dai racconti nazionali e collettivi, dai valori della solidarietà e della cittadinanza.
Context.php?Start=9022796&End=9022798	faccia a faccia	In cui le modalità ipertestuali e ipermediali rivelano ciò che si produce incambiodi testi instabili, deboli, effimeri come la voce; di forme di comunicazione sempre più vicine alla conversazione 	faccia a faccia	, ai rituali della tribù, ai travestimenti dello sciamano; di identità singolari e non più collettive, di mondi asincroni e non più contemporanei, di diversità radicali e non più mediate da poteri centrali o verticali.
Context.php?Start=9290073&End=9290075	faccia a faccia	Effettivamente, dalle nostre indagini sui lavoratori attivi nel campo dell'informazione, risulta che essi puntualmente giudicano l'interazione 	faccia a faccia	 nettamente indesiderabile per molte delle loro attività lavorative.
Context.php?Start=9466651&End=9466653	faccia a faccia	Potremmo paragonare Internet a una lussuosa nave da crociera, sulla quale nulla può venirci a mancare: dalla cura del corpo attraverso i massaggi, alla cura dello spirito attraverso le letture consigliate; dagli incontri"schermo a schermo", anziché 	faccia a faccia	, allo shopping; dai musei ai tramonti sui tropici.
Context.php?Start=9487640&End=9487642	faccia a faccia	E'il paese che per primo si è affacciato sul nuovo spazio - tempo, e per primo si è trovato 	faccia a faccia	 con il senso di disorientamento che attraversa il mondo.
Context.php?Start=9585023&End=9585025	faccia a faccia	In contrasto con l'istruzione di tipo tradizionale, che è sostanzialmente orale e basata sul gruppo, l'istruzione a distanza interrompe la comunicazione interpersonale 	faccia a faccia	 e articola il gruppo dei discenti sul territorio.
Context.php?Start=9585277&End=9585279	faccia a faccia	Nel 1983 il professor Sewart, dell'Università aperta del Regno Unito, scriveva: «Gli ultimi dieci anni sono stati testimoni di un'eccezionale crescita nel campo dell'istruzione a distanza e dell'integrazione di questo metodo nell'offerta standardizzata dell'educativo a un livello tale che non è più possibile pensare unicamente in termini tradizionali di comunicazione 	faccia a faccia	».
Context.php?Start=9780415&End=9780417	faccia a faccia	Benché sia sempre molto sentito l'obbligo di sottolineare che tra medico e paziente le comunicazioni devono avvenire personalmente, 	faccia a faccia	, la consuetudine del medico di medicina generale con l'uso del telefono e la banale considerazione che esiste un rapporto continuo con il paziente (il quale spesso ha bisogno soltanto di consigli elementari) fanno supporre che in molti casi la posta elettronica potrà rivelarsi della massima comodità per la risoluzione dei problemi più semplici e banali.
Context.php?Start=9970938&End=9970940	faccia a faccia	Deve proporli inmododa mettere il lettore «	faccia a faccia	 col fatto nudo e schietto», senzache questi, in nessun modo, possa avere mai l'impressione di riconoscere la realtà «attraverso la lente dello scrittore».
Context.php?Start=10101639&End=10101641	faccia a faccia	Questo libro è un manuale particolarmente utile a quell'82 % degli imprenditori che intende"lanciare"la propria azienda sulla rete perché aiuta a capire tutti i vantaggi dell'interattività, a sfruttare al massimo un nuovo rapporto"	faccia a faccia	"con il cliente, a imparare come si delinea il profilo del consumatore.
Context.php?Start=10187832&End=10187834	faccia a faccia	Ad esempio nella fase di avvio di un intervento formativo in cui si definiscono gli obiettivi didattici, le condizioni sociali e tecnologiche in cui si svilupperà l'intervento e i ruoli delle persone coinvolte (docente, discenti, tutor, personale tecnico di supporto ecc) potrà essere necessario un ambiente interpersonale e sociale ricco dal punto di vista della comunicazione, realizzato con incontri 	faccia a faccia	.
Context.php?Start=10364842&End=10364844	faccia a faccia	Un giorno, desideroso di trovarsi 	faccia a faccia	 con le icone della mitologia hollywoodiana, lo stesso autore ha telefonato all'agente di Tom Cruise.
Context.php?Start=10365088&End=10365090	faccia a faccia	Ecco allora che il nostro don Chisciotte, cambiato cavallo, si è trovato 	faccia a faccia	 con Giorgio Armani a via Borgonuovo 2, Milano.
Context.php?Start=10397214&End=10397216	faccia a faccia	La rete ha invece creato l'illusione che tutte queste fatiche non fossero necessarie e che i meccanismi"cattivi"che sovente rovinano le comunità reali (leaderismi, giochi di potere, arroganze, settarismi), svanissero come per incanto quando le persone dialogavano on line anziché 	faccia a faccia	.
Context.php?Start=10550628&End=10550630	faccia a faccia	Finoall'esplosione dei media, collocabile intornoagli anni Sessanta, l'identità veniva costruita all'interno di un contesto"locale", in cui era preponderante il peso delle interazioni e delle comunicazioni 	faccia a faccia	.
Context.php?Start=10550652&End=10550654	faccia a faccia	Oggi i media hanno assorbito la conoscenza locale in una conoscenza globale, sostituendo in misura sempre maggiore le interazioni 	faccia a faccia	 con le interazioni a distanza.
Context.php?Start=10550760&End=10550762	faccia a faccia	La caratteristica delle"quasi - interazioni mediate"è duplice: da un lato esse si rivolgono a un insieme di riceventi quasi illimitato, dall'altro il flusso della comunicazione che da esse proviene è prevalentemente unidirezionale, simile a un monologo; nelle comunicazioni 	faccia a faccia	, invece, la comunicazione avviene fra individui e gruppi definiti, ed è bidirezionale e interattiva.
Context.php?Start=10550834&End=10550836	faccia a faccia	I personaggi televisivi, le pop star, gli attori e le attrici diventano amici fissi e affidabili che divertono, consigliano e sono oggetto delle nostre conversazioni, evitando però le richieste reciproche, gli impegni e le responsabilità tipiche delle relazioni 	faccia a faccia	.
Context.php?Start=10551014&End=10551016	faccia a faccia	Thompson aderisce all'idea della cosiddetta"democrazia deliberativa", in cui ogni individuo sia un agente autonomo, capace di formarsi giudizi meditati attraverso l'apprendimento di informazioni e punti di vista diversi, e nella quale venga riconosciuta la crescente importanza delle forme di comunicazione e interazione"non 	faccia a faccia	"tipiche della"democrazia elettronica".
